Problem,Hidden_Layer,Dataset,DAE-GP,Pre-Trained_DAE-GP,P_Value,Cliffs_Delta
Airfoil,1,Train,18.06201164278896,20.469718702025098,0.57,0.16
,1,Test,18.317477130125575,20.633228134625348,0.62,0.14
Airfoil,2,Train,15.57422955623636,15.18201326694339,0.62,0.14
,2,Test,15.684161683491848,15.22621946305343,0.91,0.04
Boston_Housing,2,Train,8.05895987486138,7.915151483565748,0.85,0.06
,2,Test,7.842508282912526,7.961128565186061,0.79,0.08
Energy(Cooling),2,Train,4.478911109186939,4.852961551273116,0.54,0.17
,2,Test,4.651794360120691,5.049249693614145,0.76,0.09
Concrete,2,Train,17.31443877547923,17.13686162845054,0.91,-0.04
,2,Test,17.102699958675792,16.972945484894886,0.62,-0.14
